Time	 FairTen1	 FairTen3	 AnchTen1	 AnchTen3	 L1N1pZ	 L3N1pZ	 
(s)	 (N)       	 (N)       	 (N)       	 (N)       	 (m)       	 (m)       	 
0	 0.453923	 1.27622	 0.091957	 0.91839	 -0.850059	 -0.838873	 
1.20002e-05	 0.453923	 1.27622	 0.091957	 0.91839	 -0.850059	 -0.838873	 
1.20002e-05	 0.453943	 1.27625	 0.091957	 0.91839	 -0.850059	 -0.838873	 
1.20002e-05	 0.453947	 1.27625	 0.091957	 0.91839	 -0.850059	 -0.838873	 
1.20004e-05	 0.453948	 1.27626	 0.0919569	 0.91839	 -0.850059	 -0.838873	 
1.20004e-05	 1.12605e+09	 6.08817e+09	 0.0919569	 0.91839	 -0.850059	 -0.838873	 
1.20004e-05	 1.56774e+09	 8.4785e+09	 0.0919569	 0.91839	 -0.850059	 -0.838873	 
1.20004e-05	 1.65526e+09	 8.94647e+09	 0.0919569	 0.91839	 -0.850059	 -0.838873	 
1.20004e-05	 3.01254e+47	 2.20111e+47	 0.0919569	 0.91839	 -0.850059	 -0.838873	 
1.20004e-05	 4.19466e+47	 3.06482e+47	 0.0919569	 0.91839	 -0.850059	 -0.838873	 
